t,x,y,vx,vy
3.09,90.775280887,65.7351119012,18.897794724,0.704896458608
3.1,90.9638819283,65.7411803413,18.8601041273,0.606844018761
3.11,91.1521075655,65.7462683929,18.8225637242,0.508805153202
3.12,91.3399592917,65.7503761712,18.7851726182,0.410777831122
3.13,91.5274385909,65.7535037714,18.7479299198,0.312760022728
3.14,91.7145469384,65.7556512684,18.7108347467,0.214749699079
3.15,91.9012858006,65.7568187167,18.6738862235,0.116744831916
3.16,92.0876566354,65.7570061507,18.6370834816,0.0187433934951
3.17,92.273660892,65.7562135842,18.6004256594,-0.0792566435822
3.18,92.459300011,65.7544410244,18.5639119021,-0.17725598063
3.19,92.6445754246,65.7516884978,18.5275413615,-0.275252664645
3.2,92.8294885566,65.7479560511,18.4913131961,-0.373244668626
3.21,93.0140408223,65.7432437514,18.4552265709,-0.471229965896
3.22,93.1982336289,65.7375516861,18.4192806577,-0.56920653027
3.23,93.3820683752,65.7308799628,18.3834746344,-0.667172336223
3.24,93.5655464521,65.7232287092,18.3478076855,-0.765125359056
3.25,93.7486692421,65.7145980734,18.3122790018,-0.863063575066
3.26,93.9314381199,65.7049882238,18.2768877803,-0.96098496171
3.27,94.1138544522,65.6943993488,18.2416332243,-1.05888749778
3.28,94.2959195976,65.6828316572,18.2065145432,-1.15676916354
3.29,94.4776349071,65.6702853778,18.1715309524,-1.25462794095
3.3,94.6590017238,65.6567607596,18.1366816736,-1.35246181378
3.31,94.8400213832,65.642258072,18.1019659341,-1.45026876779
3.32,95.0206952129,65.6267776041,18.0673829675,-1.54804679091
3.33,95.201024533,65.6103196653,18.032932013,-1.64579387339
3.34,95.3810106561,65.5928845852,17.9986123156,-1.74350800795
3.35,95.5606548874,65.5744727133,17.9644231262,-1.84118719001
3.36,95.7399585244,65.5550844192,17.9303637013,-1.93882941776
3.37,95.9189228575,65.5347200922,17.8964333031,-2.0364326924
3.38,96.0975491694,65.5133801421,17.8626311992,-2.13399501827
3.39,96.2758387361,65.491064998,17.8289566631,-2.23151440301
3.4,96.4537928258,65.4677751094,17.7954089733,-2.32898885772
3.41,96.6314127,65.4435109455,17.7619874142,-2.42641639714
3.42,96.8086996127,65.4182729951,17.7286912753,-2.52379503982
3.43,96.9856548112,65.392061767,17.6955198514,-2.62112280822
3.44,97.1622795356,65.3648777897,17.6624724428,-2.71839772893
3.45,97.3385750192,65.3367216114,17.6295483548,-2.81561783282
3.46,97.5145424882,65.3075937998,17.5967468981,-2.91278115516
3.47,97.6901831621,65.2774949425,17.5640673882,-3.00988573581
3.48,97.8654982535,65.2464256463,17.5315091461,-3.10692961939
3.49,98.0404889685,65.2143865377,17.4990714975,-3.20391085539
3.5,98.2151565062,65.1813782627,17.4667537733,-3.30082749836
3.51,98.3895020593,65.1474014867,17.4345553093,-3.39767760805
3.52,98.5635268138,65.1124568942,17.402475446,-3.49445924955
3.53,98.7372319491,65.0765451892,17.3705135291,-3.5911704935
3.54,98.9106186382,65.0396670951,17.3386689088,-3.68780941614
3.55,99.0836880476,65.0018233541,17.3069409403,-3.78437409958
3.56,99.2564413374,64.9630147277,17.2753289833,-3.88086263184
3.57,99.4288796614,64.9232419967,17.2438324024,-3.97727310707
3.58,99.6010041671,64.8825059604,17.2124505666,-4.07360362566
3.59,99.7728159956,64.8408074375,17.1811828497,-4.16985229442
3.6,99.9443162819,64.7981472652,17.15002863,-4.26601722667
3.61,100.115506155,64.7545262998,17.1189872902,-4.36209654245
3.62,100.286386737,64.7099454161,17.0880582176,-4.45808836861
3.63,100.456959145,64.6644055077,17.0572408038,-4.55399083898
3.64,100.627224489,64.6179074868,17.026534445,-4.64980209449
3.65,100.797183875,64.5704522839,16.9959385416,-4.74552028335
3.66,100.9668384,64.5220408483,16.9654524982,-4.84114356113
3.67,101.136189157,64.4726741474,16.9350757239,-4.93667009093
3.68,101.305237233,64.422353167,16.904807632,-5.03209804352
3.69,101.47398371,64.371078911,16.8746476397,-5.12742559747
3.7,101.642429661,64.3188524016,16.8445951688,-5.22265093926
3.71,101.810576158,64.265674679,16.814649645,-5.31777226344
3.72,101.978424263,64.2115468012,16.784810498,-5.41278777275
3.73,102.145975035,64.1564698445,16.7550771616,-5.50769567825
3.74,102.313229525,64.1004449025,16.7254490738,-5.60249419945
3.75,102.480188782,64.0434730868,16.6959256763,-5.69718156442
3.76,102.646853846,63.9855555267,16.6665064149,-5.79175600993
3.77,102.813225754,63.9266933689,16.6371907394,-5.88621578159
3.78,102.979305535,63.8668877776,16.6079781031,-5.98055913392
3.79,103.145094214,63.8061399343,16.5788679637,-6.07478433052
3.8,103.310592812,63.7444510378,16.5498597821,-6.16888964419
3.81,103.475802342,63.6818223043,16.5209530235,-6.26287335698
3.82,103.640723814,63.6182549667,16.4921471565,-6.35673376041
3.83,103.80535823,63.5537502751,16.4634416534,-6.45046915549
3.84,103.96970659,63.4883094966,16.4348359905,-6.54407785289
3.85,104.133769887,63.4219339148,16.4063296474,-6.63755817303
3.86,104.297549108,63.3546248304,16.3779221075,-6.73090844619
3.87,104.461045236,63.2863835602,16.3496128576,-6.82412701263
3.88,104.62425925,63.217211438,16.3214013883,-6.91721222268
3.89,104.787192122,63.1471098137,16.2932871935,-7.01016243684
3.9,104.94984482,63.0760800534,16.2652697706,-7.10297602594
3.91,105.112218306,63.0041235397,16.2373486207,-7.19565137115
3.92,105.274313539,62.931241671,16.2095232481,-7.28818686415
3.93,105.43613147,62.857435862,16.1817931604,-7.38058090721
3.94,105.597673049,62.7827075428,16.1541578689,-7.47283191329
3.95,105.758939218,62.7070581598,16.126616888,-7.5649383061
3.96,105.919930915,62.6304891746,16.0991697354,-7.65689852025
3.97,106.080649074,62.5530020646,16.0718159322,-7.74871100131
3.98,106.241094625,62.4745983225,16.0445550028,-7.84037420589
3.99,106.401268489,62.3952794565,16.0173864746,-7.93188660176
4.0,106.561171588,62.3150469898,15.9903098784,-8.02324666791
4.01,106.720804836,62.2339024609,15.9633247481,-8.11445289466
4.02,106.880169142,62.151847423,15.9364306208,-8.20550378371
4.03,107.039265412,62.0688834445,15.9096270366,-8.29639784824
4.04,107.198094547,61.9850121084,15.8829135388,-8.387133613
4.05,107.356657444,61.9002350123,15.8562896738,-8.47770961438
4.06,107.514954994,61.8145537683,15.8297549909,-8.56812440048
4.07,107.672988085,61.7279700029,15.8033090426,-8.65837653118
4.08,107.830757598,61.6404853572,15.7769513842,-8.74846457824
4.09,107.988264414,61.5521014859,15.7506815741,-8.83838712533
4.1,108.145509406,61.4628200582,15.7244991736,-8.92814276815
4.11,108.302493443,61.3726427571,15.6984037468,-9.01773011445
4.12,108.459217392,61.2815712792,15.672394861,-9.10714778413
4.13,108.615682113,61.1896073352,15.6464720861,-9.19639440928
4.14,108.771888463,61.0967526488,15.6206349949,-9.28546863424
4.15,108.927837294,61.0030089577,15.594883163,-9.37436911571
4.16,109.083529456,60.9083780124,15.569216169,-9.46309452275
4.17,109.238965792,60.8128615771,15.543633594,-9.55164353685
4.18,109.394147142,60.7164614285,15.518135022,-9.64001485201
4.19,109.549074343,60.6191793568,15.4927200397,-9.72820717477
4.2,109.703748225,60.5210171645,15.4673882365,-9.81621922428
4.21,109.858169617,60.4219766672,15.4421392045,-9.90404973234
4.22,110.012339342,60.3220596928,15.4169725385,-9.99169744342
4.23,110.166258221,60.2212680816,15.3918878359,-10.0791611148
4.24,110.319927068,60.1196036865,15.3668846967,-10.1664395164
4.25,110.473346695,60.0170683722,15.3419627235,-10.2535314312
4.26,110.62651791,59.9136640156,15.3171215216,-10.3404356549
4.27,110.779441517,59.8093925057,15.2923606986,-10.4271509961
4.28,110.932118316,59.7042557429,15.2676798649,-10.5136762764
4.29,111.084549102,59.5982556396,15.2430786333,-10.6000103305
4.3,111.236734668,59.4913941195,15.2185566192,-10.6861520058
4.31,111.388675803,59.3836731179,15.1941134402,-10.7721001631
4.32,111.54037329,59.2750945811,15.1697487166,-10.8578536762
4.33,111.691827911,59.1656604668,15.1454620712,-10.9434114317
4.34,111.843040442,59.0553727435,15.1212531289,-11.0287723299
